Timestamp_PC;Num_Lote;T1_Index;T1_ResetCount;T1_FineNS;T2_Index;T2_ResetCount;T2_FineNS;t1_nS;t1_nS.1;Unnamed: 10
17:19:38.494;1,0;112,0;55355883,0;25,45;114,0;57190446,0;32,73;5535588325;5719044633;220325896,4
17:19:38.494;1,0;113,0;55932457,0;50,91;115,0;57346414,0;61,82;5593245751;5734641462;231613436,4
17:19:38.494;1,0;114,0;56825748,0;3,64;116,0;57832362,0;14,55;5682574804;5783236215;201090316,4
17:19:38.494;1,0;115,0;57357432,0;29,09;117,0;58450916,0;40,0;5735743229;5845091640;216853500
17:19:38.494;1,0;116,0;57513400,0;61,82;118,0;58469864,0;29,09;5751340062;5846986429;174792910,9
17:19:38.494;1,0;117,0;57999348,0;10,91;119,0;58726258,0;76,36;5799934811;5872625876;134058603,6
17:19:38.494;1,0;118,0;58617902,0;36,36;120,0;58968654,0;72,73;5861790236;5896865473;142745603,6
17:19:38.494;1,0;119,0;58636850,0;29,09;121,0;59068664,0;36,36;5863685029;5906866436;129043567,3
17:19:38.494;1,0;120,0;58893244,0;76,36;122,0;59181875,0;10,91;5889324476;5918187511;106088261,8
17:19:38.494;1,0;121,0;59135640,0;69,09;123,0;59306730,0;40,0;5913564069;5930673040;68472429,09
17:19:38.494;1,0;122,0;59235650,0;32,73;124,0;59949669,0;47,27;5923565033;5994966947;76578603,64
17:19:38.494;1,0;123,0;59348861,0;14,55;125,0;60597398,0;10,91;5934886115;6059739811;62260238,19
17:19:38.494;1,0;124,0;59473716,0;36,36;126,0;60854940,0;14,55;5947371636;6085494015;50506163,63
17:19:38.494;1,0;125,0;60116655,0;47,27;127,0;60934337,0;58,18;6011665547;6093433758;104799110,9
17:19:38.494;1,0;126,0;60764384,0;7,27;128,0;61360347,0;76,36;6076438407;6136034776;158250896,4
17:19:38.494;1,0;127,0;61021926,0;10,91;129,0;61788681,0;3,64;6102192611;6178868104;171519570,9
17:19:38.494;1,0;128,0;61101323,0;58,18;130,0;63110296,0;43,64;6110132358;6311029644;115165410,9
17:19:38.494;1,0;129,0;61527333,0;72,73;131,0;63650797,0;61,82;6152733373;6365079762;92993561,82
17:19:38.494;1,0;130,0;61955667,0;3,64;132,0;63664212,0;40,0;6195566704;6366421240;110072689,1
17:19:38.494;1,0;131,0;63277282,0;40,0;133,0;65123270,0;47,27;6327728240;6512327047;234294481,8
17:19:38.494;1,0;132,0;63817783,0;65,45;134,0;65387774,0;83,64;6381778365;6538777484;245743589,1
17:19:38.494;1,0;133,0;63831198,0;40,0;135,0;65530815,0;54,55;6383119840;6553081555;204251736,4
17:19:38.494;1,0;134,0;65290256,0;43,64;136,0;65633569,0;47,27;6529025644;6563356947;217996000
17:19:38.494;1,0;135,0;65554760,0;80,0;137,0;65985900,0;69,09;6555476080;6598590069;190396318,2
17:19:38.494;1,0;136,0;65697801,0;54,55;138,0;66503993,0;32,73;6569780155;6650399333;203358914,6
17:19:38.494;1,0;137,0;65800555,0;47,27;139,0;66704781,0;3,64;6580055547;6670478104;67728500
17:19:38.494;1,0;138,0;66152886,0;65,45;140,0;67387852,0;36,36;6615288665;6738785236;76511181,81
17:19:38.494;1,0;139,0;66670979,0;29,09;141,0;68127979,0;54,55;6667097929;6812797955;114016374,5
17:19:38.494;1,0;141,0;67554838,0;32,73;142,0;68292043,0;65,45;6755483833;6829204365;192126885,5
17:19:38.494;1,0;142,0;68294965,0;50,91;143,0;68489615,0;80,0;6829496551;6848961580;230906481,8
17:19:38.494;1,0;143,0;68459029,0;61,82;144,0;69016182,0;47,27;6845902962;6901618247;195503629,1
17:19:38.494;1,0;144,0;68656601,0;80,0;145,0;69270994,0;90,91;6865660180;6927099491;195182076,4
17:19:38.494;1,0;145,0;69183168,0;43,64;146,0;69531376,0;25,45;6918316844;6953137625;179531607,3
17:19:38.494;1,0;146,0;69437980,0;90,91;147,0;69672092,0;58,18;6943798091;6967209258;131000136,4
17:19:38.494;1,0;147,0;69698362,0;25,45;148,0;69728570,0;14,55;6969836225;6972857015;140631860
17:19:38.494;1,0;148,0;69839078,0;58,18;149,0;69838101,0;87,27;6983907858;6983810187;134946278,2
17:19:38.494;1,0;149,0;69895556,0;10,91;150,0;71389396,0;80,0;6989555611;7138939680;87937363,64
17:19:38.494;1,0;150,0;70005087,0;83,64;151,0;71614907,0;61,82;7000508784;7161490762;73409292,73
